date,DateTime,Event,Period,SurvM,Actual,Prior,Revised,BB_relevance_index,Ticker,SurvA,SurvH,SurvL,Freq,Ests,Time,StdDev,Surprise,DateTime1,DateTime2,DateTime3
14jan1997,01/14/97 13:30,CPI MoM,Dec,.003,.003,.003,,96.063,CPI CHNG Index,.003,,,M,0,1:30,,,01/14/97,13:30,
14jan1997,01/14/97 08:30,CPI Ex Food and Energy MoM,Dec,.002,.001,.002,.001,76.85039999999999,CPUPXCHG Index,.002,,,M,0,8:30,,,01/14/97,08:30,
14jan1997,01/14/97 08:30,Advance Retail Sales,Jan,.007,.006,.006,.003,0,RTSDCHNG Index,.007,,,M,0,8:30,,,01/14/97,08:30,
16jan1997,01/16/97 10:00,Philadelphia Fed Business Outlook,Jan,2.8,11.3,-2.2,8.1,78.7402,OUTFGAF Index,2.8,,,M,0,10:00,,,01/16/97,10:00,
17jan1997,01/17/97 09:15,Industrial Production MoM,Dec,.006,.008,.009,.009,89.7638,IP CHNG Index,.006,,,M,0,9:15,,,01/17/97,09:15,
17jan1997,01/17/97 08:30,Trade Balance,Nov,-$9.80b,-$8.4b,-$8.0b,-$6.6b,84.252,USTBTOT Index,-$9.80b,,,M,0,8:30,,,01/17/97,08:30,
17jan1997,01/17/97 09:15,Capacity Utilization,Dec,.836,.838,.833,,62.8346,CPTICHNG Index,.836,,,M,0,9:15,,,01/17/97,09:15,
22jan1997,01/22/97 08:30,Housing Starts MoM,Dec,-.028,-.122,.092,.07,27.5591,NHCHSTCH Index,-.028,,,M,0,8:30,,,01/22/97,08:30,
23jan1997,01/23/97 14:00,Monthly Budget Statement,Dec,$11.90b,$19.4b,-$37.9b,-$37.9b,75.59059999999999,FDDSSD Index,$11.90b,,,M,0,2:00,,,01/23/97,14:00,
27jan1997,01/27/97 10:00,Existing Home Sales,Dec,-.003,-.035,.018,,0,EHSLMOM Index,-.003,,,M,0,10:00,,,01/27/97,10:00,
28jan1997,01/28/97 08:30,Employment Cost Index,4Q,.008,.008,.006,,74.8031,ECI SA% Index,.008,,,Q,0,8:30,,,01/28/97,08:30,
31jan1997,01/31/97 10:00,MNI Chicago PMI,Jan,56,55.9,57.4,57.4,81.88979999999999,CHPMINDX Index,56,,,M,0,10:00,,,01/31/97,10:00,
03feb1997,02/03/97 08:30,Personal Spending,Dec,.004,.005,.005,,85.82680000000001,PCE CRCH Index,.004,,,M,0,8:30,,,02/03/97,08:30,
03feb1997,02/03/97 10:00,ISM Manufacturing,Jan,53,52,53.8,55.2,95.2756,NAPMPMI Index,53,,,M,0,10:00,,,02/03/97,10:00,
03feb1997,02/03/97 08:30,Personal Income,Dec,.006,.008,.005,.005,85.82680000000001,PITLCHNG Index,.006,,,M,0,8:30,,,02/03/97,08:30,
05feb1997,02/05/97 10:00,Factory Orders,Dec,-.008,-.013,-.004,.026,85.0394,TMNOCHNG Index,-.008,,,M,0,10:00,,,02/05/97,10:00,
06feb1997,02/06/97 10:00,Housing Completions,Dec,,3k,2k,,0,PHUCCHNG Index,,,,M,0,10:00,,,02/06/97,10:00,
07feb1997,02/07/97 08:30,Change in Nonfarm Payrolls,Jan,231.00k,271k,262k,183k,99.21259999999999,NFP TCH Index,231.00k,,,M,0,8:30,,,02/07/97,08:30,
07feb1997,02/07/97 15:00,Consumer Credit,Dec,$6.20b,$4.900b,$7.400b,,39.3701,CICRTOT Index,$6.20b,,,M,0,3:00,,,02/07/97,15:00,
07feb1997,02/07/97 08:30,Unemployment Rate,Jan,,,,,89.29130000000001,USURTOT Index,,,,M,0,8:30,,,02/07/97,08:30,
07feb1997,02/07/97 10:00,Wholesale Inventories MoM,Dec,.003,-.006,.001,,81.1024,MWINCHNG Index,.003,,,M,0,10:00,,,02/07/97,10:00,
14feb1997,02/14/97 08:30,PPI Ex Food and Energy MoM,Jan,.001,0,.001,,0,PXFECHNG Index,.001,,,M,0,8:30,,,02/14/97,08:30,
14feb1997,02/14/97 09:15,Industrial Production MoM,Jan,.002,0,.008,.006,89.7638,IP CHNG Index,.002,,,M,0,9:15,,,02/14/97,09:15,
14feb1997,02/14/97 09:15,Capacity Utilization,Jan,.834,.833,.838,.837,62.8346,CPTICHNG Index,.834,,,M,0,9:15,,,02/14/97,09:15,
19feb1997,02/19/97 13:30,CPI MoM,Jan,.003,.001,.003,,96.063,CPI CHNG Index,.003,,,M,0,1:30,,,02/19/97,13:30,
19feb1997,02/19/97 08:30,CPI Ex Food and Energy MoM,Jan,.002,.001,.002,.001,76.85039999999999,CPUPXCHG Index,.002,,,M,0,8:30,,,02/19/97,08:30,
19feb1997,02/19/97 08:30,Trade Balance,Dec,-$9.90b,-$10.3b,-$8.4b,-$7.3b,84.252,USTBTOT Index,-$9.90b,,,M,0,8:30,,,02/19/97,08:30,
20feb1997,02/20/97 08:30,Housing Starts MoM,Jan,.061,.02,-.122,-.08,27.5591,NHCHSTCH Index,.061,,,M,0,8:30,,,02/20/97,08:30,
20feb1997,02/20/97 10:00,Philadelphia Fed Business Outlook,Feb,,17.4,11.3,12.8,78.7402,OUTFGAF Index,,,,M,0,10:00,,,02/20/97,10:00,
24feb1997,02/24/97 14:00,Monthly Budget Statement,Jan,$16.40b,$13.4b,$19.5b,$18.5b,75.59059999999999,FDDSSD Index,$16.40b,,,M,0,2:00,,,02/24/97,14:00,
25feb1997,02/25/97 10:00,Conf. Board Consumer Confidence,Feb,115.4,118.4,116.8,,93.7008,CONCCONF Index,115.4,,,M,0,10:00,,,02/25/97,10:00,
28feb1997,02/28/97 10:00,MNI Chicago PMI,Feb,,56.2,55.9,57.2,81.88979999999999,CHPMINDX Index,,,,M,0,10:00,,,02/28/97,10:00,
28feb1997,02/28/97 10:00,Existing Home Sales,Jan,0,.021,-.035,-.011,0,EHSLMOM Index,0,,,M,0,10:00,,,02/28/97,10:00,
03mar1997,03/03/97 08:30,Personal Spending,Jan,.005,.007,.005,.005,85.82680000000001,PCE CRCH Index,.005,,,M,0,8:30,,,03/03/97,08:30,
03mar1997,03/03/97 10:00,ISM Manufacturing,Feb,52.3,53.1,52,53.8,95.2756,NAPMPMI Index,52.3,,,M,0,10:00,,,03/03/97,10:00,
03mar1997,03/03/97 08:30,Personal Income,Jan,0,.003,.008,.005,85.82680000000001,PITLCHNG Index,0,,,M,0,8:30,,,03/03/97,08:30,
03mar1997,03/03/97 10:00,Construction Spending,Jan,0.10$,0.4$,-0.7$,,0,VNCCTOT Index,0.10$,,,M,0,10:00,,,03/03/97,10:00,
04mar1997,03/04/97 10:00,Leading Index,Jan,.001,.003,.001,.006,83.4646,LEI CHNG Index,.001,,,M,0,10:00,,,03/04/97,10:00,
05mar1997,03/05/97 10:00,Housing Completions,Jan,,-10k,3k,5k,0,PHUCCHNG Index,,,,M,0,10:00,,,03/05/97,10:00,
06mar1997,03/06/97 10:00,Factory Orders,Jan,.021,.025,-.013,-.03,85.0394,TMNOCHNG Index,.021,,,M,0,10:00,,,03/06/97,10:00,
07mar1997,03/07/97 08:30,Change in Nonfarm Payrolls,Feb,231.00k,339k,271k,220k,99.21259999999999,NFP TCH Index,231.00k,,,M,0,8:30,,,03/07/97,08:30,
07mar1997,03/07/97 15:00,Consumer Credit,Jan,$5.60b,$8.400b,$4.900b,$11.015b,39.3701,CICRTOT Index,$5.60b,,,M,0,3:00,,,03/07/97,15:00,
07mar1997,03/07/97 08:30,Unemployment Rate,Feb,.053,.053,.054,,89.29130000000001,USURTOT Index,.053,,,M,0,8:30,,,03/07/97,08:30,
11mar1997,03/11/97 10:00,Wholesale Inventories MoM,Jan,.003,.01,-.006,.001,81.1024,MWINCHNG Index,.003,,,M,0,10:00,,,03/11/97,10:00,
13mar1997,03/13/97 08:30,Advance Retail Sales,Feb,.007,.008,.006,.007,0,RTSDCHNG Index,.007,,,M,0,8:30,,,03/13/97,08:30,
14mar1997,03/14/97 08:30,PPI Ex Food and Energy MoM,Feb,.001,-.001,0,.001,0,PXFECHNG Index,.001,,,M,0,8:30,,,03/14/97,08:30,
14mar1997,03/14/97 09:15,Capacity Utilization,Feb,.834,.833,.833,.834,62.8346,CPTICHNG Index,.834,,,M,0,9:15,,,03/14/97,09:15,
14mar1997,03/14/97 09:15,Industrial Production MoM,Feb,.005,.005,0,.001,89.7638,IP CHNG Index,.005,,,M,0,9:15,,,03/14/97,09:15,
18mar1997,03/18/97 08:30,Housing Starts MoM,Feb,.059,.122,.02,-.011,27.5591,NHCHSTCH Index,.059,,,M,0,8:30,,,03/18/97,08:30,
19mar1997,03/19/97 08:30,CPI Ex Food and Energy MoM,Feb,.002,.002,.001,.002,76.85039999999999,CPUPXCHG Index,.002,,,M,0,8:30,,,03/19/97,08:30,
19mar1997,03/19/97 13:30,CPI MoM,Feb,.002,.003,.001,.002,96.063,CPI CHNG Index,.002,,,M,0,1:30,,,03/19/97,13:30,
20mar1997,03/20/97 10:00,Philadelphia Fed Business Outlook,Mar,15.6,21.1,17.4,16.9,78.7402,OUTFGAF Index,15.6,,,M,0,10:00,,,03/20/97,10:00,
20mar1997,03/20/97 08:30,Trade Balance,Jan,-$10.50b,-$12.7b,-$10.3b,-$10.5b,84.252,USTBTOT Index,-$10.50b,,,M,0,8:30,,,03/20/97,08:30,
21mar1997,03/21/97 14:00,Monthly Budget Statement,Feb,-$44.90b,-$44.0b,$13.3b,,75.59059999999999,FDDSSD Index,-$44.90b,,,M,0,2:00,,,03/21/97,14:00,
25mar1997,03/25/97 10:00,Conf. Board Consumer Confidence,Mar,117.7,118.5,118.4,118.9,93.7008,CONCCONF Index,117.7,,,M,0,10:00,,,03/25/97,10:00,
26mar1997,03/26/97 08:30,GDP Annualized QoQ,4Q F,.04,.038,.039,.036,96.85039999999999,GDP CQOQ Index,.04,,,Q,0,8:30,,,03/26/97,08:30,
27mar1997,03/27/97 10:00,Existing Home Sales,Feb,.01,.09,.021,.024,0,EHSLMOM Index,.01,,,M,0,10:00,,,03/27/97,10:00,
31mar1997,03/31/97 08:30,Personal Spending,Feb,.004,.003,.007,.006,85.82680000000001,PCE CRCH Index,.004,,,M,0,8:30,,,03/31/97,08:30,
31mar1997,03/31/97 08:30,Personal Income,Feb,.007,.009,.003,.007,85.82680000000001,PITLCHNG Index,.007,,,M,0,8:30,,,03/31/97,08:30,
31mar1997,03/31/97 10:00,MNI Chicago PMI,Mar,,57.5,56.2,57.1,81.88979999999999,CHPMINDX Index,,,,M,0,10:00,,,03/31/97,10:00,
01apr1997,04/01/97 10:00,ISM Manufacturing,Mar,53.4,55,53.1,,95.2756,NAPMPMI Index,53.4,,,M,0,10:00,,,04/01/97,10:00,
01apr1997,04/01/97 10:00,Construction Spending,Feb,0.70$,2.3$,0.4$,,0,VNCCTOT Index,0.70$,,,M,0,10:00,,,04/01/97,10:00,
01apr1997,04/01/97 10:00,Leading Index,Feb,.004,.005,.003,.006,83.4646,LEI CHNG Index,.004,,,M,0,10:00,,,04/01/97,10:00,
02apr1997,04/02/97 10:00,Factory Orders,Feb,.01,.008,.025,.002,85.0394,TMNOCHNG Index,.01,,,M,0,10:00,,,04/02/97,10:00,
04apr1997,04/04/97 08:30,Unemployment Rate,Mar,.052,.052,.053,.052,89.29130000000001,USURTOT Index,.052,,,M,0,8:30,,,04/04/97,08:30,
04apr1997,04/04/97 08:30,Change in Nonfarm Payrolls,Mar,202.00k,175k,339k,310k,99.21259999999999,NFP TCH Index,202.00k,,,M,0,8:30,,,04/04/97,08:30,
07apr1997,04/07/97 15:00,Consumer Credit,Feb,$6.70b,$6.700b,$8.400b,$4.928b,39.3701,CICRTOT Index,$6.70b,,,M,0,3:00,,,04/07/97,15:00,
08apr1997,04/08/97 10:00,Wholesale Inventories MoM,Feb,.003,0,.01,.01,81.1024,MWINCHNG Index,.003,,,M,0,10:00,,,04/08/97,10:00,
11apr1997,04/11/97 08:30,Advance Retail Sales,Mar,.006,.002,.008,.008,0,RTSDCHNG Index,.006,,,M,0,8:30,,,04/11/97,08:30,
11apr1997,04/11/97 08:30,Retail Sales Less Autos,Mar,,.008,.009,,0,RTSDXCHG Index,,,,M,0,8:30,,,04/11/97,08:30,
11apr1997,04/11/97 08:30,PPI Ex Food and Energy MoM,Mar,.001,.004,-.001,,0,PXFECHNG Index,.001,,,M,0,8:30,,,04/11/97,08:30,
15apr1997,04/15/97 08:30,CPI Ex Food and Energy MoM,Mar,.003,.002,.002,,76.85039999999999,CPUPXCHG Index,.003,,,M,0,8:30,,,04/15/97,08:30,
15apr1997,04/15/97 10:00,Real Earnings,Mar,,.001,.024,,0,REALRAWE Index,,,,M,0,10:00,,,04/15/97,10:00,
15apr1997,04/15/97 13:30,CPI MoM,Mar,.003,.001,.003,.002,96.063,CPI CHNG Index,.003,,,M,0,1:30,,,04/15/97,13:30,
16apr1997,04/16/97 08:30,Housing Starts MoM,Mar,-.043,-.064,.122,.097,27.5591,NHCHSTCH Index,-.043,,,M,0,8:30,,,04/16/97,08:30,
16apr1997,04/16/97 09:15,Industrial Production MoM,Mar,.006,.009,.005,.012,89.7638,IP CHNG Index,.006,,,M,0,9:15,,,04/16/97,09:15,
16apr1997,04/16/97 09:15,Capacity Utilization,Mar,.835,.841,.833,.84,62.8346,CPTICHNG Index,.835,,,M,0,9:15,,,04/16/97,09:15,
17apr1997,04/17/97 08:30,Trade Balance,Feb,-$10.70b,-$10.4b,-$12.7b,-$11.3b,84.252,USTBTOT Index,-$10.70b,,,M,0,8:30,,,04/17/97,08:30,
17apr1997,04/17/97 10:00,Philadelphia Fed Business Outlook,Apr,20.9,5.7,21.1,13.4,78.7402,OUTFGAF Index,20.9,,,M,0,10:00,,,04/17/97,10:00,
21apr1997,04/21/97 14:00,Monthly Budget Statement,Mar,-$31.20b,-$21.3b,-$44.0b,-$44.0b,75.59059999999999,FDDSSD Index,-$31.20b,,,M,0,2:00,,,04/21/97,14:00,
25apr1997,04/25/97 10:00,Existing Home Sales,Mar,-.032,-.028,.09,.008,0,EHSLMOM Index,-.032,,,M,0,10:00,,,04/25/97,10:00,
29apr1997,04/29/97 10:00,Conf. Board Consumer Confidence,Apr,118.1,116.8,118.5,118.5,93.7008,CONCCONF Index,118.1,,,M,0,10:00,,,04/29/97,10:00,
30apr1997,04/30/97 08:30,GDP Annualized QoQ,1Q A,.042,.056,.038,.042,96.85039999999999,GDP CQOQ Index,.042,,,Q,2,8:30,,,04/30/97,08:30,
30apr1997,04/30/97 10:00,MNI Chicago PMI,Apr,55.8,57.2,57.5,57.6,81.88979999999999,CHPMINDX Index,55.8,,,M,0,10:00,,,04/30/97,10:00,
01may1997,05/01/97 08:30,Personal Income,Mar,.004,.006,.009,.005,85.82680000000001,PITLCHNG Index,.004,,,M,0,8:30,,,05/01/97,08:30,
01may1997,05/01/97 10:00,ISM Manufacturing,Apr,53.7,54.2,55,53.8,95.2756,NAPMPMI Index,53.7,,,M,0,10:00,,,05/01/97,10:00,
01may1997,05/01/97 10:00,Construction Spending,Mar,-0.40$,-0.2$,2.3$,,0,VNCCTOT Index,-0.40$,,,M,0,10:00,,,05/01/97,10:00,
01may1997,05/01/97 10:00,Housing Affordability,1Q,,83.2,80.7,,0,HOMEAFFR Index,,,,Q,0,10:00,,,05/01/97,10:00,
01may1997,05/01/97 08:30,Personal Spending,Mar,.005,.005,.003,.004,85.82680000000001,PCE CRCH Index,.005,,,M,0,8:30,,,05/01/97,08:30,
02may1997,05/02/97 08:30,Change in Nonfarm Payrolls,Apr,195.00k,142k,175k,317k,99.21259999999999,NFP TCH Index,195.00k,,,M,0,8:30,,,05/02/97,08:30,
02may1997,05/02/97 08:30,Unemployment Rate,Apr,.052,.049,.052,,89.29130000000001,USURTOT Index,.052,,,M,0,8:30,,,05/02/97,08:30,
05may1997,05/05/97 10:00,Housing Completions,Mar,,-10k,11k,,0,PHUCCHNG Index,,,,M,0,10:00,,,05/05/97,10:00,
06may1997,05/06/97 10:00,Factory Orders,Mar,-.015,-.016,.008,.033,85.0394,TMNOCHNG Index,-.015,,,M,0,10:00,,,05/06/97,10:00,
07may1997,05/07/97 15:00,Consumer Credit,Mar,$6.80b,$2.000b,$6.700b,$3.486b,39.3701,CICRTOT Index,$6.80b,,,M,0,3:00,,,05/07/97,15:00,
07may1997,05/07/97 10:00,Wholesale Inventories MoM,Mar,.004,.007,0,.001,81.1024,MWINCHNG Index,.004,,,M,0,10:00,,,05/07/97,10:00,
13may1997,05/13/97 08:30,Retail Sales Less Autos,Apr,.001,-.001,.005,.002,0,RTSDXCHG Index,.001,,,M,0,8:30,,,05/13/97,08:30,
13may1997,05/13/97 08:30,Advance Retail Sales,Apr,-.004,-.003,.001,.001,0,RTSDCHNG Index,-.004,,,M,0,8:30,,,05/13/97,08:30,
14may1997,05/14/97 08:30,PPI Ex Food and Energy MoM,Apr,.001,-.001,.004,.001,0,PXFECHNG Index,.001,,,M,0,8:30,,,05/14/97,08:30,
15may1997,05/15/97 10:00,Real Earnings,Apr,,-.009,.001,,0,REALRAWE Index,,,,M,0,10:00,,,05/15/97,10:00,
15may1997,05/15/97 13:30,CPI MoM,Apr,.001,.001,.001,,96.063,CPI CHNG Index,.001,,,M,0,1:30,,,05/15/97,13:30,
15may1997,05/15/97 08:30,CPI Ex Food and Energy MoM,Apr,.002,.003,.002,,76.85039999999999,CPUPXCHG Index,.002,,,M,0,8:30,,,05/15/97,08:30,
15may1997,05/15/97 09:15,Capacity Utilization,Apr,.84,.834,.841,.841,62.8346,CPTICHNG Index,.84,,,M,0,9:15,,,05/15/97,09:15,
15may1997,05/15/97 09:15,Industrial Production MoM,Apr,.001,0,.009,.007,89.7638,IP CHNG Index,.001,,,M,0,9:15,,,05/15/97,09:15,
15may1997,05/15/97 10:00,Philadelphia Fed Business Outlook,May,7.1,1.6,5.7,6.6,78.7402,OUTFGAF Index,7.1,,,M,0,10:00,,,05/15/97,10:00,
15may1997,05/15/97 08:30,CPI Index NSA,Apr,,.3,,,37.0079,CPURNSA Index,,,,M,0,8:30,,,05/15/97,08:30,
16may1997,05/16/97 08:30,Housing Starts MoM,Apr,.001,.026,-.064,-.02,27.5591,NHCHSTCH Index,.001,,,M,0,8:30,,,05/16/97,08:30,
20may1997,05/20/97 14:15,FOMC Rate Decision (Upper Bound),20-May,.055,.055,.055,,97.6378,FDTR Index,.055,,,D,0,2:15,,,05/20/97,14:15,
21may1997,05/21/97 14:00,Monthly Budget Statement,Apr,$90.20b,$93.9b,-$21.3b,-$21.3b,75.59059999999999,FDDSSD Index,$90.20b,,,M,0,2:00,,,05/21/97,14:00,
21may1997,05/21/97 08:30,Trade Balance,Mar,-$10.20b,-$8.5b,-$10.4b,-$9.8b,84.252,USTBTOT Index,-$10.20b,,,M,0,8:30,,,05/21/97,08:30,
27may1997,05/27/97 10:00,Existing Home Sales,Apr,-.01,-.024,-.028,-.023,0,EHSLMOM Index,-.01,,,M,0,10:00,,,05/27/97,10:00,
27may1997,05/27/97 10:00,Conf. Board Consumer Confidence,May,117,127.1,116.8,118.5,93.7008,CONCCONF Index,117,,,M,0,10:00,,,05/27/97,10:00,
28may1997,05/28/97 09:00,Tokyo-Mitsubishi Retail Sales,20-May,,-1.5,.3,,0,MBRSWTW Index,,,,W,0,9:00,,,05/28/97,09:00,
28may1997,05/28/97 08:30,GDP Annualized QoQ,1Q P,.061,.058,.056,.026,96.85039999999999,GDP CQOQ Index,.061,,,Q,0,8:30,,,05/28/97,08:30,
30may1997,05/30/97 10:00,MNI Chicago PMI,May,56.9,56.8,57.2,57,81.88979999999999,CHPMINDX Index,56.9,,,M,0,10:00,,,05/30/97,10:00,
